id,id_product,price,count,id_user,id_order
1,1,2,2,2890,2890,2,2,1,1,,
2,2,4,4,3520,3520,3,3,18,18,,
3,3,10,10,14499,14499,5,5,11,11,,
4,4,25,25,4655,4655,1,1,6,6,,
5,5,20,20,603,603,5,5,2,2,,
6,6,17,17,1583,1583,6,6,29,29,,
7,7,1,1,5,5,5,5,4,4,,
8,8,7,7,1889,1889,6,6,17,17,,
9,9,25,25,4655,4655,1,1,4,4,,
10,10,10,10,14499,14499,1,1,31,31,,
11,11,26,26,19954,19954,3,3,4,4,,
12,12,28,28,29584,29584,1,1,7,7,,
13,13,29,29,10,10,2,2,17,17,,
14,14,4,4,3520,3520,3,3,20,20,,
15,15,6,6,2156,2156,3,3,16,16,,
16,16,23,23,5698,5698,5,5,18,18,,
17,17,27,27,12045,12045,2,2,17,17,,
18,18,3,3,3190,3190,5,5,3,3,,
19,19,19,19,2564,2564,7,7,27,27,,
20,20,11,11,279,279,1,1,29,29,,
21,21,9,9,15637,15637,1,1,1,1,,
22,22,16,16,1286,1286,2,2,27,27,,
23,23,22,22,2351,2351,2,2,25,25,,
24,24,12,12,18630,18630,1,1,9,9,,
25,25,2,2,2890,2890,6,6,23,23,,
26,26,18,18,1860,1860,1,1,30,30,,
27,27,6,6,2156,2156,5,5,4,4,,
28,28,29,29,10,10,23,23,6,6,,
29,29,11,11,279,279,34,34,14,14,,
30,30,4,4,3520,3520,2,2,17,17,,
31,31,23,23,5698,5698,1,1,11,11,,
